MUSIVER,7940446637
NATARITA,2540637003
NECOLETA,3381810908
NEUHAUSER,8499465540
NICHIBU,0024613759
NISTORICA,1829484291
NOVAI,2016132386
NUNUCA,3458339772
NUSICA,1966295614
OLIVERIA,2518852463
OLIVITA,7629233241
ONUTE,3670610065
PAFTENE,5275735789
PALICI,1140538559
PANAGHI,1263809880
PANTAZICA,7978982576
PARASCHHIVA,0528471521
PARASKEVA,5693260211
PARFIR,2683584357
PATTI,1872305363
PAULICA,0739416952
PEMBE,3952491016
PENS,8977650699
PISCUTEAN,5352916625
POLETA,6155530104
POMPILE,4973002464
POMPIOLIA,0497956257
RADENCO,0204032231
RAFFAEL,3408865057
RASITA,0393390055
RATILDA,4870331205
RAVIE,6423888322
REVITA,0216540587
ROMALD,1804759420
ROZMARI,4650957739
RUHIE,8526302447
RUS,1809135299
RUSALIA,2299410107
SABADEANU,9819820919
SAMIE,4695224278
SANFIRA,2029788147
SAVOVICI,1030246916
SCHITU,2104666259
SELCUK,9541544157
SENAL,7443066895
SENIZ,5606175919
SERAFEDIN,0354359930
SHIJIN,7067210025
SIMEN,3099505722
SIMIA,4746423066
SINCA,5743911771
SINGH,0177416129
SINZIANA,9134945458
SLARKU,7403553794
SRO,7989490394
STAR,0786026526
STATE,9488057403
SUICID,4182538375
TAYEB,8644321322
TEFTA,4990536564
TENZICA,0270852935
TERESIO,6787126525
TINCAU,5395405352
TINETA,3088867244
TISTU,8666138925
TITITA,2027536518
TOCOLICA,6564525510
TODERITA,5338249502
TRIFOI,5419235007
TUDOSIEA,3588696804
UGEL,5984141105
URBANOVICI,8272791271
VADASTREANU,0009748413
VETCA,5917903711
VILAS,6844523542
VIORETA,4671410411
VIRGENIA,1904833935
VISALION,2822662889
VITTA,1570571094
VOIT,9674645469
VOLCOTRUB,4116246870
WILLFRED,1737328602
YANA,0862736584
ZABETA,1014022459
ZEMA,6575313466
ZHONG,6782386714
ZINA,9666263430
ZUDIE,6993190511
